% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              183
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.688, 111.22, 312.76, 625.77, 1073.1, 1077.4] Hz
% X                       Y                        v2 (m) @ lambda=1        v2 (m) @ lambda=2        v2 (m) @ lambda=3        v2 (m) @ lambda=4        v2 (m) @ lambda=5        v2 (m) @ lambda=6
0.5050912627165931        0.0127                   3.459349183873136E-7     7.13319865366152E-7      -2.3723991330982798E-8   -7.611875253976505E-7    2.4990215850914645E-7    6.692815280356213E-15
0.5051825254331864        0.0127                   3.460418184896412E-7     7.13267778698892E-7      -2.4242840873647198E-8   -7.610665699304957E-7    2.5082166051297687E-7    6.716864347371793E-15
0.5061370272410274        0.0127                   3.471604534553655E-7     7.127150335444173E-7     -2.966724940298184E-8    -7.597530642859228E-7    2.604096195381107E-7     6.9676838551258286E-15
0.5070915290488685        0.0127                   3.482801525731661E-7     7.121477179799078E-7     -3.508750991755985E-8    -7.583512189111293E-7    2.6994337025119846E-7    7.217162449434891E-15
0.5170745071496932        0.0127                   3.600537131750889E-7     7.053394974598514E-7     -9.144463824020898E-8    -7.384427391077131E-7    3.658911010973466E-7     9.733666307813693E-15
0.5270574852505179        0.0127                   3.719392815316509E-7     6.969318153640643E-7     -1.4696165500718158E-7   -7.091553109013357E-7    4.536161927922703E-7     1.2041353536727055E-14
0.5448220252386574        0.0127                   3.933530107195295E-7     6.780100922885646E-7     -2.424955007165634E-7    -6.351453435498704E-7    5.829598735998149E-7     1.545692088103958E-14
0.562586565226797         0.0127                   4.1508686294677213E-7    6.540355210283493E-7     -3.3235546711207894E-7   -5.355960174447601E-7    6.712783620818587E-7     1.7803281319700583E-14
0.6033909983941066        0.0127                   4.6606559392722054E-7    5.803711601309326E-7     -5.047649646871229E-7    -2.4308163253617934E-7   6.906861721168726E-7     1.8358227115746355E-14
0.644195431561416         0.0127                   5.183711610671702E-7     4.816078908552571E-7     -6.191431366221191E-7    1.0041214592536401E-7    4.570512269195003E-7     1.221315407882442E-14
0.7283885448664271        0.0127                   6.29126320974658E-7      2.1442629004578426E-7    -6.276453244385098E-7    5.934522294442484E-7     -1.911558900268261E-7    -4.938863467536977E-15
